NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,6,A,RO,54
2019,6,A,RR,14
2019,6,A,RS,98
2019,6,A,SC,40
2019,6,A,SE,72
2019,6,A,SP,349
2019,6,A,TO,43
2019,6,B,AC,606
2019,6,B,AL,1171
2019,6,B,AM,1477
2019,6,B,AP,608
2019,6,B,BA,4710
2019,6,B,CE,2682
2019,6,B,DF,778
2019,6,B,ES,734
2019,6,B,GO,1236
2019,6,B,MA,2715
2019,6,B,MG,3615
2019,6,B,MS,736
2019,6,B,MT,860
2019,6,B,PA,4479
2019,6,B,PB,1710
2019,6,B,PE,2363
2019,6,B,PI,1537
2019,6,B,PR,1484
2019,6,B,RJ,2656
2019,6,B,RN,1334
2019,6,B,RO,810
2019,6,B,RR,125
2019,6,B,RS,1998
2019,6,B,SC,774
2019,6,B,SE,907
2019,6,B,SP,4650
2019,6,B,TO,515
2019,6,C,AC,656
2019,6,C,AL,1429
2019,6,C,AM,1812
2019,6,C,AP,699
2019,6,C,BA,6000
2019,6,C,CE,3249
2019,6,C,DF,1132
2019,6,C,ES,1251
2019,6,C,GO,1900
2019,6,C,MA,3254
2019,6,C,MG,6371
2019,6,C,MS,849
2019,6,C,MT,1050
2019,6,C,PA,4180
2019,6,C,PB,2304
2019,6,C,PE,3457
2019,6,C,PI,1652
2019,6,C,PR,2310
2019,6,C,RJ,4104
2019,6,C,RN,1935
2019,6,C,RO,953
2019,6,C,RR,177
2019,6,C,RS,3137
2019,6,C,SC,1085
2019,6,C,SE,1258
2019,6,C,SP,7482
2019,6,C,TO,634
2019,6,D,AC,362
2019,6,D,AL,804
2019,6,D,AM,1182
2019,6,D,AP,417
2019,6,D,BA,3812
2019,6,D,CE,1887
2019,6,D,DF,877
2019,6,D,ES,1033
2019,6,D,GO,1294
2019,6,D,MA,1913
2019,6,D,MG,5644
2019,6,D,MS,533
2019,6,D,MT,694
2019,6,D,PA,2362
2019,6,D,PB,1377
2019,6,D,PE,2435
2019,6,D,PI,1035
2019,6,D,PR,1693
2019,6,D,RJ,3378
2019,6,D,RN,1315
2019,6,D,RO,492
2019,6,D,RR,114
2019,6,D,RS,2206
2019,6,D,SC,688
2019,6,D,SE,689
2019,6,D,SP,6399
2019,6,D,TO,369
2019,6,E,AC,182
2019,6,E,AL,450
2019,6,E,AM,620
2019,6,E,AP,206
2019,6,E,BA,1809
2019,6,E,CE,1016
2019,6,E,DF,710
2019,6,E,ES,630
2019,6,E,GO,874
2019,6,E,MA,879
2019,6,E,MG,3942
2019,6,E,MS,313
2019,6,E,MT,419
2019,6,E,PA,1156
2019,6,E,PB,699
2019,6,E,PE,1433
2019,6,E,PI,574
2019,6,E,PR,1130
2019,6,E,RJ,2153
2019,6,E,RN,736
2019,6,E,RO,275
2019,6,E,RR,81
2019,6,E,RS,1171
2019,6,E,SC,379
2019,6,E,SE,372
2019,6,E,SP,4706
2019,6,E,TO,230
