NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2022,2.0,0,AM,74
2022,2.0,0,AP,4
2022,2.0,0,BA,87
2022,2.0,0,CE,228
2022,2.0,0,DF,9
2022,2.0,0,ES,19
2022,2.0,0,GO,42
2022,2.0,0,MA,92
2022,2.0,0,MG,29
2022,2.0,0,MS,17
2022,2.0,0,MT,40
2022,2.0,0,PA,57
2022,2.0,0,PB,34
2022,2.0,0,PE,61
2022,2.0,0,PI,17
2022,2.0,0,PR,71
2022,2.0,0,RJ,45
2022,2.0,0,RN,14
2022,2.0,0,RO,19
2022,2.0,0,RR,3
2022,2.0,0,RS,38
2022,2.0,0,SC,27
2022,2.0,0,SE,12
2022,2.0,0,SP,63
2022,2.0,0,TO,10
2022,2.0,1,AC,303
2022,2.0,1,AL,635
2022,2.0,1,AM,1611
2022,2.0,1,AP,232
2022,2.0,1,BA,2057
2022,2.0,1,CE,5233
2022,2.0,1,DF,392
2022,2.0,1,ES,709
2022,2.0,1,GO,754
2022,2.0,1,MA,2494
2022,2.0,1,MG,1959
2022,2.0,1,MS,675
2022,2.0,1,MT,989
2022,2.0,1,PA,1553
2022,2.0,1,PB,575
2022,2.0,1,PE,1807
2022,2.0,1,PI,583
2022,2.0,1,PR,1401
2022,2.0,1,RJ,1391
2022,2.0,1,RN,485
2022,2.0,1,RO,472
2022,2.0,1,RR,181
2022,2.0,1,RS,1332
2022,2.0,1,SC,794
2022,2.0,1,SE,449
2022,2.0,1,SP,2220
2022,2.0,1,TO,493
2022,2.0,2,AC,8
2022,2.0,2,AL,20
2022,2.0,2,AM,55
2022,2.0,2,AP,4
2022,2.0,2,BA,32
2022,2.0,2,CE,46
2022,2.0,2,DF,5
2022,2.0,2,ES,2
2022,2.0,2,GO,49
2022,2.0,2,MA,21
2022,2.0,2,MG,9
2022,2.0,2,MS,8
2022,2.0,2,MT,9
2022,2.0,2,PA,34
2022,2.0,2,PB,18
2022,2.0,2,PE,25
2022,2.0,2,PI,12
2022,2.0,2,PR,15
2022,2.0,2,RJ,16
2022,2.0,2,RN,2
2022,2.0,2,RO,8
